InvoiceNo,CustomerID,Date,SubTotal,BasketSize
489434,13085.0,2009-12-01 07:45:00,505.3,166
489435,13085.0,2009-12-01 07:46:00,145.79999999999998,60
489436,13078.0,2009-12-01 09:06:00,630.33,193
489437,15362.0,2009-12-01 09:08:00,310.75,145
489438,18102.0,2009-12-01 09:24:00,2286.24,826
489439,12682.0,2009-12-01 09:28:00,426.3,219
489440,18087.0,2009-12-01 09:43:00,50.4,16
489441,18087.0,2009-12-01 09:44:00,344.34000000000003,102
489442,13635.0,2009-12-01 09:46:00,382.37,275
489443,14110.0,2009-12-01 09:50:00,285.06,120
489444,12636.0,2009-12-01 09:55:00,141.0,1
489445,17519.0,2009-12-01 09:57:00,308.44,280
489446,13758.0,2009-12-01 10:06:00,996.1,382
489447,12362.0,2009-12-01 10:10:00,130.0,1
489448,15413.0,2009-12-01 10:18:00,570.24,192
489450,16321.0,2009-12-01 10:36:00,196.10000000000002,100
489460,16167.0,2009-12-01 10:46:00,485.79,977
489461,17865.0,2009-12-01 10:49:00,589.33,379
489462,17592.0,2009-12-01 10:49:00,148.3,38
489465,13767.0,2009-12-01 10:52:00,1197.8000000000002,408
489488,17238.0,2009-12-01 10:59:00,251.1,80
489505,15712.0,2009-12-01 11:17:00,255.5,64
489514,15311.0,2009-12-01 11:21:00,823.02,326
489517,16329.0,2009-12-01 11:34:00,282.46000000000004,138
489519,17700.0,2009-12-01 11:37:00,696.73,247
489520,14911.0,2009-12-01 11:41:00,733.63,293
489522,15998.0,2009-12-01 11:45:00,700.31,409
489523,12931.0,2009-12-01 11:46:00,1160.0,800
489526,12533.0,2009-12-01 11:50:00,929.92,484
489529,17984.0,2009-12-01 11:51:00,229.46,212
489531,14871.0,2009-12-01 11:57:00,145.0,54
489532,13394.0,2009-12-01 11:58:00,304.53000000000003,353
489533,16011.0,2009-12-01 12:02:00,192.75,67
489536,16393.0,2009-12-01 12:13:00,367.40999999999997,216
489537,14040.0,2009-12-01 12:14:00,633.33,250
489539,15061.0,2009-12-01 12:18:00,2887.14,1598
489540,12913.0,2009-12-01 12:18:00,537.96,188
489542,15061.0,2009-12-01 12:19:00,387.6,264
489544,14341.0,2009-12-01 12:20:00,281.82,226
489545,17804.0,2009-12-01 12:22:00,124.95,92
489546,14156.0,2009-12-01 12:30:00,584.5,212
489547,13599.0,2009-12-01 12:30:00,641.45,595
489550,14156.0,2009-12-01 12:33:00,482.3,232
489552,17063.0,2009-12-01 12:36:00,278.61,129
489556,15719.0,2009-12-01 12:47:00,379.65,176
489557,12490.0,2009-12-01 12:52:00,603.94,442
489558,15793.0,2009-12-01 12:54:00,291.58000000000004,154
489559,17056.0,2009-12-01 12:55:00,128.60000000000002,26
489560,13526.0,2009-12-01 12:56:00,859.0999999999999,1585
489561,14654.0,2009-12-01 12:57:00,246.86,273
489562,17998.0,2009-12-01 13:07:00,229.6,107
489564,13526.0,2009-12-01 13:13:00,322.9,326
489566,17742.0,2009-12-01 13:16:00,218.54999999999998,35
489567,15326.0,2009-12-01 13:19:00,307.8,150
489569,14478.0,2009-12-01 13:20:00,282.28,312
489571,15967.0,2009-12-01 13:29:00,156.71,50
489572,17611.0,2009-12-01 13:29:00,507.49,273
489573,15051.0,2009-12-01 13:29:00,580.02,306
489574,13097.0,2009-12-01 13:31:00,551.33,313
489575,13590.0,2009-12-01 13:37:00,367.28000000000003,300
489576,15984.0,2009-12-01 13:38:00,319.66,178
489579,16887.0,2009-12-01 13:41:00,219.82,177
489580,12921.0,2009-12-01 13:43:00,261.0,276
489581,15945.0,2009-12-01 13:47:00,124.83000000000001,137
489582,14543.0,2009-12-01 13:47:00,293.95,125
489584,18037.0,2009-12-01 13:48:00,21.95,1
489585,15662.0,2009-12-01 13:49:00,105.85,67
489586,15380.0,2009-12-01 13:50:00,263.42,98
489590,13110.0,2009-12-01 14:14:00,362.78000000000003,87
489593,12836.0,2009-12-01 14:19:00,423.87,95
489594,15005.0,2009-12-01 14:19:00,322.33,181
489598,16620.0,2009-12-01 14:35:00,822.37,575
489599,12758.0,2009-12-01 14:40:00,2454.68,1403
489606,17961.0,2009-12-01 14:48:00,2.1,1
489611,15601.0,2009-12-01 14:53:00,2.95,1
489613,13585.0,2009-12-01 14:56:00,12.75,1
489617,13442.0,2009-12-01 14:59:00,198.0,42
489634,13381.0,2009-12-01 15:19:00,17.4,12
489635,16763.0,2009-12-01 15:26:00,352.85,173
489637,17243.0,2009-12-01 15:36:00,535.9,157
489639,14865.0,2009-12-01 16:05:00,31.200000000000003,48
489640,17345.0,2009-12-01 16:17:00,329.90999999999997,600
489641,13819.0,2009-12-01 16:18:00,622.1,462
489644,15808.0,2009-12-01 16:30:00,896.5400000000001,317
489645,17191.0,2009-12-01 16:34:00,261.74,97
489650,13748.0,2009-12-01 16:44:00,173.1,90
489652,15265.0,2009-12-01 17:08:00,294.14,146
489654,15750.0,2009-12-01 17:19:00,222.12,115
489656,17428.0,2009-12-01 17:28:00,1237.3,401
489657,17428.0,2009-12-01 17:28:00,55.2,32
489658,15485.0,2009-12-01 17:31:00,828.09,249
489661,17246.0,2009-12-01 17:45:00,23.48,34
489662,15485.0,2009-12-01 17:50:00,73.75,25
489664,14061.0,2009-12-01 18:03:00,374.43,57
489665,14108.0,2009-12-01 18:07:00,252.3,118
489666,13648.0,2009-12-01 18:13:00,263.09000000000003,203
489667,16563.0,2009-12-01 18:35:00,538.46,221
489668,16701.0,2009-12-01 19:19:00,378.12,198
489669,12842.0,2009-12-02 08:15:00,397.20000000000005,168
489670,14302.0,2009-12-02 08:16:00,114.60000000000001,28
489671,14135.0,2009-12-02 08:58:00,740.3,966
489672,14831.0,2009-12-02 09:21:00,772.65,421
489673,14831.0,2009-12-02 09:23:00,61.099999999999994,34
489674,15602.0,2009-12-02 09:35:00,261.3,266
489675,13777.0,2009-12-02 09:47:00,4939.22,1930
489676,13777.0,2009-12-02 09:49:00,1210.8,840
489677,14000.0,2009-12-02 09:50:00,192.0,48
489678,16823.0,2009-12-02 09:57:00,189.29999999999998,113
489679,16163.0,2009-12-02 10:00:00,795.98,280
489680,17193.0,2009-12-02 10:02:00,45.0,36
489681,17998.0,2009-12-02 10:02:00,89.59,183
489682,15759.0,2009-12-02 10:08:00,125.73,303
489683,16131.0,2009-12-02 10:09:00,1317.97,721
489684,14560.0,2009-12-02 10:15:00,266.6,116
489687,17087.0,2009-12-02 10:41:00,221.53,113
489688,14894.0,2009-12-02 10:42:00,299.70000000000005,54
489695,16202.0,2009-12-02 10:48:00,306.95,121
489699,16700.0,2009-12-02 10:51:00,401.7,238
489702,17511.0,2009-12-02 10:52:00,3108.64,2020
489705,16700.0,2009-12-02 10:52:00,17.0,4
489723,14299.0,2009-12-02 10:58:00,2052.12,1339
489725,17949.0,2009-12-02 11:07:00,216.0,300
